# lemma	POS	count  (unique names/epithets in the RV sample, by frequency)
indra	NOUN	438
agni	NOUN	364
deva	NOUN	331
soma	NOUN	218
div	NOUN	177
ap	NOUN	169
go	NOUN	158
ratha	NOUN	138
sūrya	NOUN	120
pitṛ	NOUN	114
aśva	NOUN	96
mitra	NOUN	94
vāja	NOUN	89
yajña	NOUN	88
nṛ	NOUN	76
bṛhat	ADJ	74
sindhu	NOUN	72
marut	NOUN	69
mada	NOUN	69
jana	NOUN	69
ṛta	NOUN	68
gir	NOUN	68
varuṇa	NOUN	67
sakhi	NOUN	67
pṛthivī	NOUN	65
brahman	NOUN	65
aśvin	NOUN	64
viśva	ADJ	63
rājan	NOUN	63
vasu	NOUN	61
manas	NOUN	61
pati	NOUN	61
vṛṣan	NOUN	57
indu	NOUN	55
uṣas	NOUN	53
ūti	NOUN	53
dhī	NOUN	52
mātṛ	NOUN	52
putra	NOUN	52
mah	ADJ	51
atya	NOUN	51
priya	ADJ	51
hotṛ	NOUN	50
kratu	NOUN	49
dhenu	NOUN	49
adhvara	NOUN	47
stoma	NOUN	46
vīra	NOUN	46
rai	NOUN	46
rayi	NOUN	45
havis	NOUN	44
viś	NOUN	42
samudra	NOUN	41
vṛtra	NOUN	39
śavas	NOUN	39
svar	NOUN	39
madhu	NOUN	38
yama	NOUN	38
vrata	NOUN	37
śuci	ADJ	37
avas	NOUN	37
puru	ADJ	37
bhadra	ADJ	35
uktha	NOUN	35
uru	ADJ	35
ugra	ADJ	35
prathama	ADJ	35
amṛta	ADJ	35
jyotis	NOUN	35
pathin	NOUN	35
barhis	NOUN	34
savitṛ	NOUN	34
vṛṣabha	NOUN	34
sarasvatī	NOUN	34
tanū	NOUN	34
bṛhaspati	NOUN	34
mahat	ADJ	33
śūra	NOUN	33
payas	NOUN	33
ghṛta	NOUN	33
namas	NOUN	32
citra	ADJ	32
vājin	ADJ	32
kavi	NOUN	31
svasti	NOUN	31
mati	NOUN	31
mahi	ADJ	31
jātavedas	NOUN	31
maghavan	ADJ	31
yoni	NOUN	30
vipra	NOUN	30
parvata	NOUN	30
rajas	NOUN	30
bhuvana	NOUN	30
ūrmi	NOUN	30
vana	NOUN	30
garbha	NOUN	30
sūnu	NOUN	29
vāyu	NOUN	29
pada	NOUN	29
maghavan	NOUN	29
rudra	NOUN	29
aṃhas	NOUN	29
samāna	ADJ	29
dhana	NOUN	29
vajra	NOUN	28
vatsa	NOUN	28
vasu	ADJ	28
satya	ADJ	27
rādhas	NOUN	27
sakhya	NOUN	27
tamas	NOUN	27
vāra	NOUN	27
hava	NOUN	26
raśmi	NOUN	26
ṛṣi	NOUN	25
śukra	ADJ	25
vāc	NOUN	25
dhārā	NOUN	25
suta	NOUN	24
hari	NOUN	24
pūṣan	NOUN	24
ahi	NOUN	24
ojas	NOUN	24
śrī	NOUN	24
iṣ	NOUN	24
vāta	NOUN	24
manīṣā	NOUN	24
adri	NOUN	24
madhumat	ADJ	24
ahar	NOUN	23
pīti	NOUN	23
dakṣa	NOUN	23
marta	NOUN	23
aruṣa	ADJ	23
sumati	NOUN	23
anna	NOUN	23
havya	NOUN	23
śiśu	NOUN	23
arvant	NOUN	22
divya	ADJ	22
vaiśvānara	NOUN	22
vājin	NOUN	22
bhānu	NOUN	22
ṛtu	NOUN	21
sahas	NOUN	21
aditi	NOUN	21
vidatha	NOUN	21
śarman	NOUN	21
oṣadhī	NOUN	21
ūdhas	NOUN	21
sudānu	ADJ	20
upastha	NOUN	20
śravas	NOUN	20
dūta	NOUN	20
ajara	ADJ	20
āyu	NOUN	20
cāru	ADJ	20
rodas	NOUN	20
vayas	NOUN	20
pūrvya	ADJ	20
yajñiya	ADJ	20
sva	ADJ	20
ari	ADJ	20
diva	NOUN	19
gopā	NOUN	19
jaritṛ	NOUN	19
marya	NOUN	19
paśu	NOUN	19
manus	NOUN	19
hṛd	NOUN	19
sumna	NOUN	19
śuṣma	NOUN	19
asura	NOUN	19
sāti	NOUN	19
bhāga	NOUN	19
pavitra	NOUN	19
vasiṣṭha	NOUN	19
ratna	NOUN	18
ketu	NOUN	18
sūri	NOUN	18
vīrya	NOUN	18
ṛbhu	NOUN	18
agra	NOUN	18
viṣṇu	NOUN	17
vi	NOUN	17
śatru	NOUN	17
aktu	NOUN	17
rathya	ADJ	17
āditya	NOUN	17
svadhā	NOUN	17
napāt	NOUN	17
han	ADJ	17
sapti	NOUN	17
vacas	NOUN	17
śocis	NOUN	17
nadī	NOUN	17
āśu	ADJ	17
bhaga	NOUN	17
nāman	NOUN	17
āyus	NOUN	17
hasta	NOUN	16
savana	NOUN	16
kāma	NOUN	16
śatakratu	NOUN	16
akṣa	NOUN	16
stotṛ	ADJ	16
rodasī	NOUN	16
svasṛ	NOUN	16
vipra	ADJ	16
martya	NOUN	16
yavasa	NOUN	16
cakra	NOUN	16
bhūri	ADJ	16
revat	ADJ	16
devī	NOUN	16
hari	ADJ	16
vid	ADJ	15
pravat	NOUN	15
deva	ADJ	15
mahiman	NOUN	15
tman	NOUN	15
subhaga	ADJ	15
āji	NOUN	15
adhvaryu	NOUN	15
sadana	NOUN	15
atri	NOUN	15
mitrāvaruṇa	NOUN	14
karman	NOUN	14
cakṣus	NOUN	14
dhīti	NOUN	14
aryaman	NOUN	14
pṛthu	ADJ	14
ūrdhva	ADJ	14
vajrin	NOUN	14
tvaṣṭṛ	NOUN	14
sānu	NOUN	14
bāhu	NOUN	14
hiraṇyaya	ADJ	14
aha	NOUN	14
mānuṣa	ADJ	14
arka	NOUN	14
